"Snapshot","VmName","PowerState","CreationDate","AgeDays","ParentSnapshot","IsCurrentSnapshot","SnapshotSizeGB","Description"
"opwtrfrws2a_vm-199_1","opwtrfrws2a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","7,89 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.944 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.944."
"opwtrfrws3a_vm-268_1","opwtrfrws3a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","7,97 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:38.394 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:38.394."
"opwtrmmpub3a_vm-267_1","opwtrmmpub3a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","0,67 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:38.332 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:38.332."
"opwtrmmipf1a_vm-253_1","opwtrmmipf1a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","0,52 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.895 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.895."
"opwtrmmpub2a_vm-220_1","opwtrmmpub2a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","1,22 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.193 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.193."
"opwtrmmipf2a_vm-231_1","opwtrmmipf2a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","1,24 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.287 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.287."
"opwtrmmpub1a_vm-274_1","opwtrmmpub1a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","1,17 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.096 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.096."
"opwtrmmpub4a_vm-194_1","opwtrmmpub4a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","1,17 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.866 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.866."
"opwtrprxout5a_vm-286_1","opwtrprxout5a","PoweredOff","26/06/2019 15:55:39","113 Jours",,"True","0,56 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.471 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.471."
"opwtrprxout1a_vm-304_1","opwtrprxout1a","PoweredOff","26/06/2019 15:55:40","113 Jours",,"True","0,56 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:40.953 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:40.953."
"opwtrwtpub1a_vm-259_1","opwtrwtpub1a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","4,11 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.942 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.942."
"opwtrwtpub7a_vm-321_1","opwtrwtpub7a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","11,78 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.060 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.060."
"opwtrwtpub5a_vm-313_1","opwtrwtpub5a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","11,94 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.045 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.045."
"opwtrwtpub27a_vm-323_1","opwtrwtpub27a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","11,89 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.248 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.248."
"opwtrwtpub11a_vm-291_1","opwtrwtpub11a","PoweredOff","26/06/2019 15:55:40","113 Jours",,"True","11,63 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:40.407 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:40.407."
"opwtrwtpub17a_vm-282_1","opwtrwtpub17a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","11,89 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.284 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.284."
"opwtrwtpub21a_vm-322_1","opwtrwtpub21a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","11,80 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:42.185 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:42.185."
"opwtrprxout3a_vm-280_1","opwtrprxout3a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","0,50 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.190 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.190."
"opwtrwtpub19a_vm-298_1","opwtrwtpub19a","PoweredOff","26/06/2019 15:55:40","113 Jours",,"True","11,89 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:40.703 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:40.703."
"opwtrwtpub15a_vm-276_1","opwtrwtpub15a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","11,94 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.128 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.128."
"opwtrprxout6a_vm-195_1","opwtrprxout6a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","0,58 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.866 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.866."
"opwtrprxout4a_vm-228_1","opwtrprxout4a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","0,58 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.240 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.240."
"opwtrwtpub10a_vm-215_1","opwtrwtpub10a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","12,03 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.100 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.100."
"opwtrwtpub9a_vm-310_1","opwtrwtpub9a","PoweredOff","26/06/2019 15:55:41","113 Jours",,"True","11,59 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:41.951 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:41.951."
"opwtrprxout2a_vm-230_1","opwtrprxout2a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","0,50 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.240 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.240."
"opwtrwtpub13a_vm-303_1","opwtrwtpub13a","PoweredOff","26/06/2019 15:55:40","113 Jours",,"True","11,70 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:40.703 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:40.703."
"opwtrwtpub12a_vm-196_1","opwtrwtpub12a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","11,58 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.897 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.897."
"opwtrwtpub4a_vm-200_1","opwtrwtpub4a","PoweredOff","26/06/2019 15:55:36","113 Jours",,"True","11,56 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:36.897 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:36.897."
"opwtrwtpub20a_vm-237_1","opwtrwtpub20a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","10,66 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:37.412 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:37.412."
"opwtrwtpub25a_vm-281_1","opwtrwtpub25a","PoweredOff","26/06/2019 15:55:38","113 Jours",,"True","11,94 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:39.128 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:39.128."
"opwtrwtpub23a_vm-262_1","opwtrwtpub23a","PoweredOff","26/06/2019 15:55:37","113 Jours",,"True","11,81 GB","Snapshot g?n?r? par VMware vSphere Update Manager ? 2019-06-26 15:55:38.098 (Heure locale d'Update Manager). Le snapshot sera supprim? automatiquement ? 2019-06-26 18:25:38.098."
